source,stage,model,taskId,category,repeat,status,score,wallMs,tokensPerSecond,timeToFirstTokenSeconds,finishReason,promptTokens,completionTokens,error
screen-installed-bounded.json,screen,qwen/qwen3-14b,instruction_exact_token,instruction,0,completed,0,2833,9.45,0.247,length,47,24,
screen-installed-bounded.json,screen,qwen/qwen3-14b,director_dependency_envelope,planning,0,completed,0.2857,49948,8.46,0.287,length,137,420,
screen-installed-bounded.json,screen,qwen/qwen3-14b,native_tool_read_file,tool_use,0,completed,0,22397,8.2,0.386,length,207,180,
screen-installed-bounded.json,screen,qwen/qwen3-14b,claim_grounding_matrix,grounding,0,completed,0.2,44066,8.24,0.35,length,165,360,
screen-installed-bounded.json,screen,qwen/qwen3-14b,gpu_residency_reasoning,reasoning,0,completed,0,86290,2.1,0.307,length,149,180,
screen-installed-bounded.json,screen,qwen/qwen3-14b,code_review_immutable_sort,coding,0,completed,0,30098,2.7,0.371,length,109,80,
screen-installed-bounded.json,screen,qwen/qwen3-14b,log_reconciliation,extraction,0,failed,0,90006,,,,,,The operation was aborted due to timeout
screen-installed-bounded.json,screen,qwen/qwen3-14b,insufficient_evidence_abstention,safety,0,completed,0,87325,0.95,2.312,length,70,80,
screen-installed-bounded.json,screen,qwen/qwen3-14b,long_context_recall,long_context,0,failed,0,90004,,,,,,The operation was aborted due to timeout
screen-installed-bounded.json,screen,qwen/qwen3-14b,critic_candidate_selection,critique,0,completed,0,68203,3.87,0.409,length,99,256,
screen-installed-bounded.json,screen,google/gemma-4-e2b,instruction_exact_token,instruction,0,completed,0,493,96.49,0.221,length,52,24,
screen-installed-bounded.json,screen,google/gemma-4-e2b,director_dependency_envelope,planning,0,completed,0.2857,4105,104.63,0.07,length,140,420,
screen-installed-bounded.json,screen,google/gemma-4-e2b,native_tool_read_file,tool_use,0,completed,1,935,106.45,0.054,tool_calls,121,91,
screen-installed-bounded.json,screen,google/gemma-4-e2b,claim_grounding_matrix,grounding,0,completed,0.2,3500,105.99,0.072,length,170,360,
screen-installed-bounded.json,screen,google/gemma-4-e2b,gpu_residency_reasoning,reasoning,0,completed,0,1783,106.59,0.065,length,152,180,
screen-installed-bounded.json,screen,google/gemma-4-e2b,code_review_immutable_sort,coding,0,completed,0,867,103.22,0.06,length,125,80,
screen-installed-bounded.json,screen,google/gemma-4-e2b,log_reconciliation,extraction,0,completed,0,2174,105.01,0.057,length,141,220,
screen-installed-bounded.json,screen,google/gemma-4-e2b,insufficient_evidence_abstention,safety,0,completed,0,841,105.61,0.049,length,75,80,
screen-installed-bounded.json,screen,google/gemma-4-e2b,long_context_recall,long_context,0,completed,0,3266,103.12,1.677,length,7768,160,
screen-installed-bounded.json,screen,google/gemma-4-e2b,critic_candidate_selection,critique,0,completed,0,2525,105.48,0.057,length,104,256,
