source,stage,model,taskId,category,repeat,status,score,wallMs,tokensPerSecond,timeToFirstTokenSeconds,finishReason,promptTokens,completionTokens,error
code-finalists-isolated-r2.json,,mistralai_devstral-small-2-24b-instruct-2512,code_immutable_rank_sort,immutability,0,completed,,6727,5.43,0.604,stop,139,33,
code-finalists-isolated-r2.json,,mistralai_devstral-small-2-24b-instruct-2512,code_fencing_settlement,concurrency_safety,0,completed,,13041,5.11,0.48,stop,153,64,
code-finalists-isolated-r2.json,,mistralai_devstral-small-2-24b-instruct-2512,code_dependency_readiness,planning,0,completed,,31972,4.94,0.549,stop,174,155,
code-finalists-isolated-r2.json,,mistralai_devstral-small-2-24b-instruct-2512,code_evidence_log_reconciliation,evidence,0,completed,,42016,5.2,0.631,stop,192,215,
code-finalists-isolated-r2.json,,mistralai_devstral-small-2-24b-instruct-2512,code_windows_path_scope,safety,0,completed,,63615,4.97,0.605,stop,186,313,
code-finalists-isolated-r2.json,,mistralai_devstral-small-2-24b-instruct-2512,code_immutable_rank_sort,immutability,1,completed,,6696,5.12,0.205,stop,139,33,
code-finalists-isolated-r2.json,,mistralai_devstral-small-2-24b-instruct-2512,code_fencing_settlement,concurrency_safety,1,completed,,12840,5.08,0.206,stop,153,64,
code-finalists-isolated-r2.json,,mistralai_devstral-small-2-24b-instruct-2512,code_dependency_readiness,planning,1,completed,,30923,5.05,0.212,stop,174,155,
code-finalists-isolated-r2.json,,mistralai_devstral-small-2-24b-instruct-2512,code_evidence_log_reconciliation,evidence,1,completed,,42594,4.98,0.197,stop,192,211,
code-finalists-isolated-r2.json,,mistralai_devstral-small-2-24b-instruct-2512,code_windows_path_scope,safety,1,completed,,64995,4.99,0.178,stop,186,323,
code-finalists-isolated-r2.json,,granite-4.1-8b,code_immutable_rank_sort,immutability,0,completed,,1181,25.67,0.151,stop,140,26,
code-finalists-isolated-r2.json,,granite-4.1-8b,code_fencing_settlement,concurrency_safety,0,completed,,2693,24.56,0.125,stop,155,62,
code-finalists-isolated-r2.json,,granite-4.1-8b,code_dependency_readiness,planning,0,completed,,7076,24.74,0.128,stop,177,171,
code-finalists-isolated-r2.json,,granite-4.1-8b,code_evidence_log_reconciliation,evidence,0,completed,,8076,24.31,0.141,stop,196,192,
code-finalists-isolated-r2.json,,granite-4.1-8b,code_windows_path_scope,safety,0,completed,,10693,23.91,0.145,stop,186,251,
code-finalists-isolated-r2.json,,granite-4.1-8b,code_immutable_rank_sort,immutability,1,completed,,1165,24.47,0.045,stop,140,26,
code-finalists-isolated-r2.json,,granite-4.1-8b,code_fencing_settlement,concurrency_safety,1,completed,,2564,24.97,0.045,stop,155,62,
